SessionID,PlayerID,GlmPlayerID,ChooseHigh,WallSep,FirstSeenWall,D2H,D2L,OpponentVisible,OpponentFirstSeenWall,OpponentD2H,OpponentD2L,D2H_z,D2L_z,OpponentD2H_z,OpponentD2L_z
0,0,0,1.0,1.0,1.0,0.19175644084533391,0.16373262488919704,1,2.0,0.5274698954840331,0.5516672128611967,-1.8270433483456308,-2.104000722273408,0.2904141206068606,0.4602013668410873
0,0,0,0.0,2.0,2.0,0.8157228935764896,0.6676446278565008,0,1.0,0.3667145177882719,0.4544833009190254,2.2935497835339325,1.3474692138257538,-0.8014239419795252,-0.19997887665656525
0,0,0,0.0,2.0,2.0,0.4697333461253139,0.20797616626931162,1,2.0,0.4164657152455909,0.40904860648505437,0.00867990521099156,-1.800961199418595,-0.4635176658613098,-0.508621398193554
0,0,0,0.0,2.0,2.0,0.44619418204886196,0.6673213364000393,0,2.0,0.533225397625589,0.3753824266603265,-0.1467696664752058,1.345254877322547,0.329505044951184,-0.7373191975530807
0,0,0,1.0,1.0,1.0,0.283904678666782,0.3073419347353856,1,1.0,0.4635979316571701,0.4892075447405811,-1.2185083955130547,-1.1203702221874035,-0.14339930596660483,0.03590645954010323
0,0,0,1.0,4.0,1.0,0.6704164422716599,0.3125690712522827,1,2.0,0.5994529484621144,0.3436715010984041,1.333964917001929,-1.0845677320031657,0.7793174358750116,-0.9527347549291109
0,0,0,1.0,4.0,1.0,0.658015360170898,0.5239045157867132,1,1.0,0.3391658321020271,0.5849190336419892,1.2520697870496607,0.36294280346242164,-0.9885324794207826,0.6860843828784167
0,0,0,1.0,2.0,1.0,0.46939521620172536,0.19425991360513925,1,2.0,0.3187193005054573,0.5854577585857564,0.006446939264307404,-1.8949086216422386,-1.1274037368866454,0.6897439964651404
0,0,0,1.0,2.0,1.0,0.6122881606462279,0.257639927672315,0,1.0,0.5502156952775671,0.593701255090433,0.950093321044642,-1.4607966897687028,0.44490182941341205,0.7457429104928839
0,0,0,1.0,4.0,1.0,0.7212443821381523,0.20486813104094276,1,2.0,0.4219117942022557,0.5029191764678916,1.6696260074415088,-1.8222492221048663,-0.42652831980042094,0.12905097483675482
0,0,0,1.0,2.0,2.0,0.5678869219867553,0.5837310321250517,0,1.0,0.4473018193537191,0.2760752769201025,0.6568733277800379,0.7727155838435211,-0.2540812373590579,-1.4119228123527237
0,0,0,0.0,4.0,1.0,0.8416501825802037,0.3982771974566664,1,2.0,0.43645431143762403,0.5433641873818336,2.464770220993881,-0.4975227338053015,-0.32775667016115456,0.4037980664059815
0,0,0,1.0,1.0,2.0,0.46003529728149367,0.671408759700918,0,1.0,0.5084160882256958,0.5322979467932368,-0.055364745400531455,1.3732510722058215,0.16100213887391027,0.32862396340495575
0,0,0,1.0,2.0,2.0,0.35720200734687585,0.8077410851129072,1,1.0,0.4554735074899891,0.3633869465939566,-0.734462389798631,2.3070389552233648,-0.19857976505589864,-0.8188057192707863
0,0,0,0.0,1.0,2.0,0.3667092663132687,0.6149958537634451,1,1.0,0.43321724996592464,0.39848991377620535,-0.6716776906718686,0.986859305975536,-0.3497425407204726,-0.5803476765892279
0,0,0,0.0,4.0,2.0,0.3968951391742436,0.7980512377705994,1,1.0,0.5463535529342732,0.3780546822843759,-0.47233412044259654,2.240669794357126,0.41867045803425107,-0.7191662920637168
0,0,0,0.0,4.0,2.0,0.16632315002228573,0.7623485846182267,1,1.0,0.5746753393539114,0.37563724530190146,-1.995001486203568,1.996129808667629,0.6110298357212998,-0.7355881884850078
0,0,0,0.0,4.0,2.0,0.46499397193663466,0.578172948654273,0,1.0,0.4942168586914363,0.4437390583804684,-0.022618304245300105,0.7346463219708941,0.06456207268684835,-0.27296561400382413
0,0,0,1.0,4.0,1.0,0.4116422039679416,0.6056361681289594,1,1.0,0.4699692289938144,0.4645845258074522,-0.374946426539641,0.9227515383721855,-0.10012594839738617,-0.13136022390636232
0,0,0,1.0,1.0,1.0,0.23002965392823504,0.4433883336474498,0,1.0,0.49761260877097313,0.5018876213257154,-1.5742920373191125,-0.18854074998884085,0.08762574396810369,0.12204351535777858
0,0,0,1.0,2.0,1.0,0.4342036052725563,0.49032170748627246,0,1.0,0.5661903977283553,0.46317261240819796,-0.22595387276619355,0.13292237819727226,0.5534007700042034,-0.14095149588841532
0,0,0,0.0,4.0,2.0,0.3735329362418784,0.5504726011206879,0,2.0,0.4312122534361129,0.5073016174917362,-0.6266150637967072,0.5449169323777049,-0.36336032171157034,0.15882134448350643
0,0,0,1.0,2.0,1.0,0.8947358916887175,0.5347186526399428,0,2.0,0.29052908221597773,0.38715722869584374,2.8153413252512234,0.43701261726720586,-1.3188695140336097,-0.657331764246527
0,0,0,0.0,1.0,2.0,0.5085187307589706,0.6288219284819915,0,1.0,0.3065336514105924,0.19095744358904723,0.2648135304070449,1.081558937943659,-1.2101677208341988,-1.9901369510048703
0,0,0,0.0,1.0,1.0,0.5614910627959134,0.44184236386281195,0,2.0,0.1822260495457579,0.3434705028154944,0.6146359072602412,-0.19912963892654173,-2.05445531562761,-0.9541001568017263
0,0,0,1.0,4.0,1.0,0.40249730544487705,0.5259392571011299,0,1.0,0.7548020924915125,0.22634736037592698,-0.4353381445253374,0.37687945992841954,1.8344367785231916,-1.7497296303402485
0,0,0,0.0,4.0,2.0,0.5151345194629688,0.41326720595701555,0,2.0,0.08974712107619508,0.8450954848097564,0.3085033367681689,-0.39485091139153183,-2.68256502827043,2.4534895989444094
